symbol,gene,p_value,log2FC,p_adj,significant
ADCY9,215400_x_at,0.13581558325530937,-0.22432527327198848,0.39467640084481725,False
ADCYAP1,206281_at,0.22149364736281257,-0.13523602664277767,0.502016103891568,False
ADCYAP1R1,207151_at,0.5389648646641567,0.130646265847302,0.7657816794816938,False
ADD1,208030_s_at,0.0006926572516420128,-0.44597277629162235,0.014574581244890436,True
ADD2,206807_s_at,0.18403373579187565,-0.18219778210954374,0.45644037611864097,False
ADD3,201753_s_at,0.009954283611677469,-0.3383487541230412,0.09006951813131955,False
ADD3-AS1,222072_at,0.19086215965341408,-0.19479177584112684,0.464755928702549,False
ADGB,220614_s_at,0.0876900475652128,-0.34147476664773535,0.3116423173677252,False
ADH1A,207820_at,0.011461257729454376,-0.30840376303988926,0.09860664323761847,False
ADH1B,209614_at,1.2396752310594072e-11,-1.8159032467513114,5.212015693150334e-09,True
ADH1C,206262_at,8.135517206469943e-06,-0.9687004104415742,0.00041107421748700615,True
ADH5,208848_at,0.0011001030214268614,-0.45445278535097877,0.02024244064942589,True
ADH6,214261_s_at,0.24505033172536966,-0.22769278215121425,0.5273769710199496,False
ADH7,210505_at,0.011104399119340958,-0.33519260888957625,0.0966182450512591,False
ADI1,217761_at,0.1424762011057981,-0.17449886571793805,0.4044240375002331,False
ADIPOQ,207175_at,2.824339574304727e-12,-1.9713093618258117,1.498446636529339e-09,True
ADIPOR1,217748_at,0.10494000824900664,-0.16095796635074855,0.34282043744503954,False
ADIPOR2,201346_at,3.871870289985672e-05,-0.6926425191337149,0.0015057048110253182,True
ADIRF,203571_s_at,1.90486674756081e-12,-2.630774472069784,1.061153643397438e-09,True
ADK,204119_s_at,0.00462008291223588,-0.5095317526742136,0.05559652801484875,False
ADM,202912_at,2.5177175128909796e-08,-0.9874512993560156,3.1518145696488597e-06,True
ADM2,220538_at,0.0036395290393280376,-0.41319307389499027,0.047649603750497455,True
ADNP,201773_at,0.012138697950558407,0.3445001306883011,0.10209957852577208,False
ADNP2,203322_at,0.0859705335515981,0.2614463853372797,0.3085826996021683,False
ADO,212502_at,0.16862126637304697,0.2964524851846022,0.43823042670755835,False
ADORA1,205481_at,0.5364105473871359,-0.08592594905329243,0.7642478406283599,False
ADORA2A /// SPECC1L-ADORA2A,205013_s_at,0.47212889978185635,0.12070586280395901,0.7190375470255036,False
ADORA2B,205891_at,0.04735711901613887,-0.22339663071181093,0.22447829696041974,False
ADORA3,206171_at,0.23818242382557467,0.2112323373499443,0.5202331846799922,False
ADPGK,220980_s_at,0.9711110611485131,-0.003615374032484908,0.9886813074232338,False
